,Transcript,Handle,Student_Bool,Time_Stamps,Line_Char_Length,rt,Teacher_Response,rt_paste,vocab,approp,vocab_count,approp_count,marked_lines
0,Mrs. Cheryl @ [2018-05-09T16:26:52.572Z]: Hi! Let's look over your problem again. Would you like me to type or talk?,Mrs. Cheryl,False,2018-05-09 16:26:52,116,0 days 00:00:00.000000000,,0,[],[],0,0,Mrs. Cheryl @ [2018-05-09T16:26:52.572Z]: Hi! Let's look over your problem again. Would you like me to type or talk?
1,Zachary @ [2018-05-09T16:27:11.768Z]: talk,Zachary,True,2018-05-09 16:27:11,42,0 days 00:00:19.000000000,,19000000000,[],[],0,0,Zachary @ [2018-05-09T16:27:11.768Z]: talk
2,Mrs. Cheryl @ [2018-05-09T16:27:21.147Z]: Did you hear my voice?,Mrs. Cheryl,False,2018-05-09 16:27:21,64,0 days 00:00:10.000000000,10.0,10.0-TR,[],[],0,0,Mrs. Cheryl @ [2018-05-09T16:27:21.147Z]: Did you hear my voice?
3,Zachary @ [2018-05-09T16:27:22.644Z]: yes,Zachary,True,2018-05-09 16:27:22,41,0 days 00:00:01.000000000,,1000000000,[],[],0,0,Zachary @ [2018-05-09T16:27:22.644Z]: yes
4,Zachary @ [2018-05-09T16:27:41.048Z]: 10 marbles,Zachary,True,2018-05-09 16:27:41,48,0 days 00:00:19.000000000,,19000000000,[],[],0,0,Zachary @ [2018-05-09T16:27:41.048Z]: 10 marbles
5,Zachary @ [2018-05-09T16:28:32.996Z]: 2x as many as mateo,Zachary,True,2018-05-09 16:28:32,57,0 days 00:00:51.000000000,,51000000000,[],[],0,0,Zachary @ [2018-05-09T16:28:32.996Z]: 2x as many as mateo
6,Zachary @ [2018-05-09T16:28:50.406Z]: 20,Zachary,True,2018-05-09 16:28:50,40,0 days 00:00:18.000000000,,18000000000,[],[],0,0,Zachary @ [2018-05-09T16:28:50.406Z]: 20
7,Zachary @ [2018-05-09T16:31:53.607Z]: i do not know what you are trying to say,Zachary,True,2018-05-09 16:31:53,78,0 days 00:03:03.000000000,,183000000000,[],[],0,0,Zachary @ [2018-05-09T16:31:53.607Z]: i do not know what you are trying to say
8,Zachary @ [2018-05-09T16:34:16.815Z]: N stands for the number of marbles Alice has.,Zachary,True,2018-05-09 16:34:16,83,0 days 00:02:23.000000000,,143000000000,[],[],0,0,Zachary @ [2018-05-09T16:34:16.815Z]: N stands for the number of marbles Alice has.
9,Mrs. Cheryl @ [2018-05-09T16:34:59.348Z]: yes,Mrs. Cheryl,False,2018-05-09 16:34:59,45,0 days 00:00:43.000000000,457.0,457.0-TR,[],[],0,0,Mrs. Cheryl @ [2018-05-09T16:34:59.348Z]: yes
10,Zachary @ [2018-05-09T16:35:09.514Z]: talk,Zachary,True,2018-05-09 16:35:09,42,0 days 00:00:10.000000000,,10000000000,[],[],0,0,Zachary @ [2018-05-09T16:35:09.514Z]: talk
11,Zachary @ [2018-05-09T16:35:23.142Z]: 20,Zachary,True,2018-05-09 16:35:23,40,0 days 00:00:14.000000000,,14000000000,[],[],0,0,Zachary @ [2018-05-09T16:35:23.142Z]: 20
12,Mrs. Cheryl @ [2018-05-09T16:36:00.413Z]: See if you can use what we did to try this on your own.,Mrs. Cheryl,False,2018-05-09 16:36:00,97,0 days 00:00:37.000000000,51.0,51.0-TR,[],['See if you can use what we did to try this on your own.'],0,1,Mrs. Cheryl @ [2018-05-09T16:36:00.413Z]: See if you can use what we did to try this on your own.--APPROP FOUND
13,Zachary @ [2018-05-09T16:36:05.119Z]: talk,Zachary,True,2018-05-09 16:36:05,42,0 days 00:00:05.000000000,,5000000000,[],[],0,0,Zachary @ [2018-05-09T16:36:05.119Z]: talk
14,Mrs. Cheryl @ [2018-05-09T16:36:25.336Z]: Please come back if you need more help. Have a nice day!,Mrs. Cheryl,False,2018-05-09 16:36:25,98,0 days 00:00:20.000000000,20.0,20.0-TR,[],['Please come back if you need more help. Have a nice day!'],0,1,Mrs. Cheryl @ [2018-05-09T16:36:25.336Z]: Please come back if you need more help. Have a nice day!--APPROP FOUND
